Ashmore Dana Obligasi Nusantara (ASHDOBN),ASHDOBN:IJ,Open-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/ASHDOBN:IJ
Ashmore Dana Progresif Nusantara (ASHPRON),ASHPRON:IJ,Open-End Fund,Growth Small Cap,http://www.bloomberg.com/quote/ASHPRON:IJ
Avrist Balanced Amar Syariah (AVBAASY),AVBAASY:IJ,Open-End Fund,Moderate Allocation,http://www.bloomberg.com/quote/AVBAASY:IJ
Avrist Balanced-Cross Sectoral (AVBACST),AVBACST:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/AVBACST:IJ
Avrist Equity Amar Syariah (AVEQASY),AVEQASY:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/AVEQASY:IJ
Avrist Equity-Cross Sectoral (AVEQCST),AVEQCST:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/AVEQCST:IJ
Avrist Link Access Cash Fund (AILKCSH),AILKCSH:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/AILKCSH:IJ
Avrist Link Advised RP Fund (AIALKAD),AIALKAD:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/AIALKAD:IJ
Avrist Link Aggressive RP Fund (AILKAGR),AILKAGR:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/AILKAGR:IJ
Avrist Link Assured USD Fund (AIASSRD),AIASSRD:IJ,Open-End Fund,Aggregate Bond USD Focused,http://www.bloomberg.com/quote/AIASSRD:IJ
Avrist Link Assured RP Fund (AILKDRP),AILKDRP:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/AILKDRP:IJ
Avrist Link ASYA Balanced Rupiah Fund (AIYSBLC),AIYSBLC:IJ,Open-End Fund,Conservative Allocation,http://www.bloomberg.com/quote/AIYSBLC:IJ
Avrist Link ASYA Cash Rupiah Fund (AICSHRU),AICSHRU:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/AICSHRU:IJ
Avrist Link ASYA Equity Rupiah Fund (AIYSAEQ),AIYSAEQ:IJ,Open-End Fund,Thematic Sector,http://www.bloomberg.com/quote/AIYSAEQ:IJ
Avrist Link Rupiah Growth Fund (AIALGRW),AIALGRW:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/AIALGRW:IJ
Avrist Link Rupiah Moderate Fund (AILMODR),AILMODR:IJ,Open-End Fund,Moderate Allocation,http://www.bloomberg.com/quote/AILMODR:IJ
Avrist Link Rupiah Secured Fund (AIRUPSC),AIRUPSC:IJ,Open-End Fund,General Corporate Bond,http://www.bloomberg.com/quote/AIRUPSC:IJ
Avrist Link Treasure Plus US$ Fund (AITRSUR),AITRSUR:IJ,Open-End Fund,General Corporate Bond,http://www.bloomberg.com/quote/AITRSUR:IJ
AXA Citradinamis (BLSDINI),BLSDINI:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/BLSDINI:IJ
AXA MaestroDollar (AXAMADO),AXAMADO:IJ,Open-End Fund,Aggregate Bond USD Focused,http://www.bloomberg.com/quote/AXAMADO:IJ
AXA Maestroobligasi Plus (AXAMAES),AXAMAES:IJ,Open-End Fund,Conservative Allocation,http://www.bloomberg.com/quote/AXAMAES:IJ
Bahana A Optima Protected Fund 22 (BAHPR22),BAHPR22:IJ,Closed-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/BAHPR22:IJ
Bahana ETF INDONESIA BOND INDEX FUND (R/ABFII),R/ABFII:IJ,ETF,Aggregate Bond,http://www.bloomberg.com/quote/R+ABFII:IJ
